id|kabupaten|provinsi|prov|pop|npop|positif|positif_sembuh|positif_md|pdp_md|odp_md|md|odp|pdp|pr_positif|pr_positif_sembuh|pr_positif_md|pr_pdp_md|pr_md|positif_rs|pdp_proses|pr_npop|p_sembuh|p_md|rs|p_rs|tgl|crawled_at
3578|KOTA SURABAYA|JAWA TIMUR|Jatim|2904754.0|8005|7431|3974|665|534.0|40.0|1239|4768|6083|255.82|136.81|22.89|18.38|42.65|2792|2128.0|275.58|49.64|15.48|2792|34.88|2020-07-16 18:12:00.000000|2020-07-17 13:36:51.546273
7371|KOTA MAKASSAR|SULAWESI SELATAN|Sulsel|1545376.0|4105|3922|1458|138|183.0|0.0|321|2500|1364|253.79|94.35|8.93|11.84|20.77|2326|0.0|265.63|35.52|7.82|2326|56.66|2020-07-17 12:53:00.000000|2020-07-17 13:36:51.546273
3374|KOTA SEMARANG|JAWA TENGAH|Jateng|1842787.0|2893|2855|1701|292|38.0|0.0|330|4693|2103|154.93|92.31|15.85|2.06|17.91|862|0.0|156.99|58.8|11.41|862|29.8|2020-07-17 12:47:00.000000|2020-07-17 13:36:51.546273
3515|SIDOARJO|JAWA TIMUR|Jatim|2282214.0|2643|2565|939|150|74.0|4.0|228|1592|989|112.39|41.14|6.57|3.24|9.99|1476|695.0|115.81|35.53|8.63|1476|55.85|2020-07-16 16:50:00.000000|2020-07-17 13:36:51.546273
3173|KOTA JAKARTA PUSAT|DKI JAKARTA|DKI|931366.0|2401|2313|1558|133|57.0|31.0|221|14766|1686|248.34|167.28|14.28|6.12|23.73|622|99.0|257.79|64.89|9.2|622|25.91|2020-07-16 09:00:00.000000|2020-07-17 13:36:51.546273
3172|KOTA JAKARTA TIMUR|DKI JAKARTA|DKI|2959112.0|2368|2249|1554|124|90.0|29.0|243|17545|2190|76.0|52.52|4.19|3.04|8.21|571|132.0|80.02|65.62|10.26|571|24.11|2020-07-16 09:00:00.000000|2020-07-17 13:36:51.546273
3174|KOTA JAKARTA BARAT|DKI JAKARTA|DKI|2619785.0|2337|2171|1508|115|128.0|38.0|281|18276|2043|82.87|57.56|4.39|4.89|10.73|548|112.0|89.21|64.53|12.02|548|23.45|2020-07-16 09:00:00.000000|2020-07-17 13:36:51.546273
3175|KOTA JAKARTA UTARA|DKI JAKARTA|DKI|1827730.0|2043|1978|1345|110|49.0|16.0|175|15164|2154|108.22|73.59|6.02|2.68|9.57|523|130.0|111.78|65.83|8.57|523|25.6|2020-07-16 09:00:00.000000|2020-07-17 13:36:51.546273
1671|KOTA PALEMBANG|SUMATERA SELATAN|Sumsel|1681373.0|1965|1888|784|87|77.0|0.0|164|6390|877|112.29|46.63|5.17|4.58|9.75|1017|390.0|116.87|39.9|8.35|1017|51.76|2020-07-16 21:00:00.000000|2020-07-17 13:36:51.546273
6371|KOTA BANJARMASIN|KALIMANTAN SELATAN|Kalsel|715704.0|1845|1845|430|136|0.0|0.0|136|266|195|257.79|60.08|19.0|0.0|19.0|1279|0.0|257.79|23.31|7.37|1279|69.32|2020-07-16 16:30:00.000000|2020-07-17 13:36:51.546273
3171|KOTA JAKARTA SELATAN|DKI JAKARTA|DKI|2282521.0|1877|1766|1153|122|78.0|33.0|233|17884|2506|77.37|50.51|5.34|3.42|10.21|491|132.0|82.23|61.43|12.41|491|26.16|2020-07-16 09:00:00.000000|2020-07-17 13:36:51.546273
1275|KOTA MEDAN|SUMATERA UTARA|Sumut|2295003.0|1782|1690|497|85|92.0|0.0|177|1279|2447|73.64|21.66|3.7|4.01|7.71|1108|205.0|77.65|27.89|9.93|1108|62.18|2020-07-16 00:00:00.000000|2020-07-17 13:36:51.546273
9471|KOTA JAYAPURA|PAPUA|Papua|303760.0|1462|1462|467|19|0.0|0.0|19|909|164|481.3|153.74|6.25|0.0|6.25|976|0.0|481.3|31.94|1.3|976|66.76|2020-07-16 00:00:00.000000|2020-07-17 13:36:51.546273
3525|GRESIK|JAWA TIMUR|Jatim|1326419.0|1389|1322|341|113|67.0|0.0|180|1532|783|99.67|25.71|8.52|5.05|13.57|868|539.0|104.72|24.55|12.96|868|62.49|2020-07-16 17:25:00.000000|2020-07-17 13:36:51.546273
7171|KOTA MANADO|SULAWESI UTARA|Sulut|435334.0|1082|1082|256|65|0.0|0.0|65|44|128|248.54|58.81|14.93|0.0|14.93|761|0.0|248.54|23.66|6.01|761|70.33|2020-07-16 21:12:00.000000|2020-07-17 13:36:51.546273
5171|KOTA DENPASAR|BALI|Bali|962879.0|1001|1001|659|12|0.0|0.0|12|541|443|103.96|68.44|1.25|0.0|1.25|330|0.0|103.96|65.83|1.2|330|32.97|2020-07-17 00:00:00.000000|2020-07-17 13:36:51.546273
3276|KOTA DEPOK|JAWA BARAT|Jabar|2484185.0|924|924|728|36|0.0|0.0|36|4245|1615|37.2|29.31|1.45|0.0|1.45|160|189.0|37.2|78.79|3.9|160|17.32|2020-07-17 12:48:00.000000|2020-07-17 13:36:51.546273
5271|KOTA MATARAM|NUSA TENGGARA BARAT|NTB|495682.0|752|752|426|50|0.0|0.0|50|1030|720|151.71|85.94|10.09|0.0|10.09|276|200.0|151.71|56.65|6.65|276|36.7|2020-07-16 22:50:00.000000|2020-07-17 13:36:51.546273
3321|DEMAK|JAWA TENGAH|Jateng|1173620.0|704|704|223|118|0.0|0.0|118|689|395|59.99|19.0|10.05|0.0|10.05|363|66.0|59.99|31.68|16.76|363|51.56|2020-07-16 18:30:00.000000|2020-07-17 13:36:51.546273
7325|LUWU TIMUR|SULAWESI SELATAN|Sulsel|305407.0|648|647|393|6|1.0|0.0|7|438|86|211.85|128.68|1.96|0.33|2.29|248|0.0|212.18|60.65|1.08|248|38.27|2020-07-17 12:53:00.000000|2020-07-17 13:36:51.546273
8171|KOTA AMBON|MALUKU|Maluku|495473.0|639|639|0|13|0.0|0.0|13|0|0|128.97|0.0|2.62|0.0|2.62|626|0.0|128.97|0.0|2.03|626|97.97|2020-07-16 21:24:00.000000|2020-07-17 13:36:51.546273
